Date,Open,High,Low,Close,Adj Close,Volume
2021-04-28,0.828999,0.893279,0.676878,0.773113,0.773113,3865674203
2021-04-29,0.776181,0.923382,0.743497,0.890872,0.890872,2744234311
2021-04-30,0.888491,0.940679,0.783348,0.820568,0.820568,1906390032
2021-05-01,0.820682,0.839666,0.772287,0.786821,0.786821,966733867
2021-05-02,0.785502,0.827400,0.742434,0.824512,0.824512,779774169
2021-05-03,0.822579,0.868734,0.777386,0.796139,0.796139,815448476
2021-05-04,0.795066,0.797988,0.690819,0.704383,0.704383,787329351
2021-05-05,0.703297,0.836177,0.700698,0.811085,0.811085,925333196
2021-05-06,0.809184,0.813626,0.729038,0.761785,0.761785,585564623
2021-05-07,0.762863,0.807224,0.732982,0.753129,0.753129,585921423
2021-05-08,0.751463,0.849105,0.732210,0.848258,0.848258,757402833
2021-05-09,0.848966,1.051479,0.797214,0.969865,0.969865,2966438616
2021-05-10,0.969873,1.000600,0.785425,0.875069,0.875069,1271190447
2021-05-11,0.876136,1.089039,0.800992,1.069220,1.069220,1659530191
2021-05-12,1.066634,1.224979,1.019014,1.019014,1.019014,2497330382
2021-05-13,1.041993,1.181658,0.960461,1.053154,1.053154,2041911519
2021-05-14,1.052197,1.499887,1.044579,1.470762,1.470762,3241106096
2021-05-15,1.471554,1.887585,1.471554,1.608185,1.608185,5946636441
2021-05-16,1.596607,1.820645,1.468764,1.714745,1.714745,3438259517
2021-05-17,1.719248,1.783930,1.482570,1.727973,1.727973,3156131754
2021-05-18,1.724034,2.680005,1.712779,2.454367,2.454367,8012820328
2021-05-19,2.448309,2.630741,1.071025,1.659390,1.659390,9181248216
2021-05-20,1.625707,2.200185,1.339804,1.841451,1.841451,5518161200
2021-05-21,1.830957,1.955423,1.199768,1.482336,1.482336,3691087028
2021-05-22,1.486962,1.611167,1.128334,1.193292,1.193292,2559785462
2021-05-23,1.195548,1.256210,0.749117,1.086715,1.086715,3787398515
2021-05-24,1.077332,1.979461,1.076834,1.717577,1.717577,9112450701
2021-05-25,1.742494,1.944910,1.515075,1.940050,1.940050,6515075273
2021-05-26,1.938220,2.438496,1.836490,2.210167,2.210167,8204673883
2021-05-27,2.213053,2.265770,1.860651,2.026745,2.026745,5255177625
2021-05-28,2.039898,2.059237,1.668725,1.823294,1.823294,5212099042
2021-05-29,1.818158,1.905481,1.519969,1.698194,1.698194,3504118573
2021-05-30,1.691446,1.967220,1.556192,1.864938,1.864938,4118454690
2021-05-31,1.864914,1.932885,1.750787,1.881024,1.881024,3157990052
2021-06-01,1.872787,1.982777,1.768602,1.821164,1.821164,2319361513
2021-06-02,1.824160,1.888933,1.749974,1.795897,1.795897,1734391037
2021-06-03,1.800240,1.885549,1.764246,1.823846,1.823846,1502571188
2021-06-04,1.824849,1.824849,1.557193,1.631484,1.631484,2452329357
2021-06-05,1.632547,1.696627,1.456004,1.527334,1.527334,1479392251
2021-06-06,1.527570,1.590637,1.512480,1.583428,1.583428,1026604651
2021-06-07,1.581552,1.727169,1.468035,1.480122,1.480122,1855450186
2021-06-08,1.486308,1.520702,1.284930,1.485099,1.485099,2517422655
2021-06-09,1.480070,1.532651,1.356999,1.492427,1.492427,1819221238
2021-06-10,1.490975,1.497217,1.355368,1.362205,1.362205,1083382350
2021-06-11,1.363053,1.383839,1.233062,1.251965,1.251965,960292127
2021-06-12,1.250332,1.394790,1.163944,1.341269,1.341269,1585637917
2021-06-13,1.340909,1.492560,1.317858,1.469217,1.469217,1566746227
2021-06-14,1.465227,1.597355,1.414814,1.477863,1.477863,1415033591
2021-06-15,1.594380,1.722041,1.534883,1.691460,1.691460,2287131448
2021-06-16,1.628095,1.636442,1.449416,1.477197,1.477197,1472817044
2021-06-17,1.478923,1.556963,1.455155,1.503794,1.503794,1089042381
2021-06-18,1.503763,1.512533,1.307309,1.377261,1.377261,1233288351
2021-06-19,1.380531,1.433359,1.352048,1.363695,1.363695,868441240
2021-06-20,1.360871,1.433974,1.286915,1.398996,1.398996,998938016
2021-06-21,1.399662,1.409565,1.084777,1.099052,1.099052,1483730324
2021-06-22,1.097809,1.235737,0.930163,1.074384,1.074384,2509624684
2021-06-23,1.075182,1.247964,1.031177,1.158587,1.158587,1608298389
2021-06-24,1.178167,1.238874,1.137753,1.203148,1.203148,916504353
2021-06-25,1.202085,1.232769,1.043918,1.046163,1.046163,960902434
2021-06-26,1.040057,1.102386,1.007249,1.075453,1.075453,813581059
2021-06-27,1.077131,1.112806,1.034957,1.112033,1.112033,704097942
2021-06-28,1.114083,1.164332,1.087663,1.119224,1.119224,728137291
2021-06-29,1.120081,1.250090,1.115688,1.167279,1.167279,954899564
2021-06-30,1.171831,1.180927,1.081938,1.167428,1.167428,797906875
2021-07-01,1.167458,1.167458,1.064672,1.077357,1.077357,596223500
2021-07-02,1.074200,1.109534,1.044572,1.103611,1.103611,483658487
2021-07-03,1.102771,1.145669,1.080955,1.118638,1.118638,423834017
2021-07-04,1.117961,1.178456,1.095695,1.147865,1.147865,510476356
2021-07-05,1.146954,1.149955,1.082397,1.101610,1.101610,486095587
2021-07-06,1.101168,1.163829,1.101116,1.131786,1.131786,570313255
2021-07-07,1.131174,1.175934,1.126255,1.128411,1.128411,582374200
2021-07-08,1.128707,1.132614,1.018421,1.043340,1.043340,566038964
2021-07-09,1.040867,1.068305,1.004842,1.051329,1.051329,478830499
2021-07-10,1.051684,1.070566,1.021716,1.029878,1.029878,355002271
2021-07-11,1.029663,1.058403,1.022011,1.042152,1.042152,266686963
2021-07-12,1.042564,1.048818,0.963344,0.996988,0.996988,430869287
2021-07-13,0.995747,0.995747,0.938441,0.945664,0.945664,365205018
2021-07-14,0.945853,0.964982,0.871828,0.928696,0.928696,523726158
2021-07-15,0.929696,0.945170,0.858254,0.876782,0.876782,395226772
2021-07-16,0.878216,0.897258,0.810815,0.812614,0.812614,457749814
2021-07-17,0.811375,0.821369,0.783575,0.801461,0.801461,421592446
2021-07-18,0.801653,0.858628,0.789804,0.795457,0.795457,404667080
2021-07-19,0.794281,0.799416,0.728800,0.730728,0.730728,393350081
2021-07-20,0.733269,0.738165,0.624077,0.690101,0.690101,953798836
2021-07-21,0.688997,0.939707,0.669435,0.888009,0.888009,2106021346
2021-07-22,0.888893,0.928122,0.844062,0.880551,0.880551,1369987199
2021-07-23,0.881175,0.955649,0.860180,0.949230,0.949230,984378205
2021-07-24,0.948503,0.984922,0.911713,0.949325,0.949325,769444027
2021-07-25,0.948596,0.964427,0.887308,0.939943,0.939943,600985079
2021-07-26,0.939680,1.133462,0.934469,1.017886,1.017886,1931636034
2021-07-27,1.015553,1.062375,0.939019,1.039820,1.039820,1313155904
2021-07-28,1.042601,1.058142,0.993287,1.015443,1.015443,927615842
2021-07-29,1.016751,1.041800,0.992006,1.025704,1.025704,469026617
2021-07-30,1.027766,1.070300,0.997940,1.069407,1.069407,718792140
2021-07-31,1.054231,1.063840,1.027556,1.049647,1.049647,664957120
