Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,138.610001,138.960007,137.679993,138.419998,120.783447,4771100
2019-05-21,139.119995,139.570007,138.080002,138.119995,120.521660,4859000
2019-05-22,138.350006,138.949997,137.490005,138.759995,121.080109,5456800
2019-05-23,138.500000,139.850006,137.669998,139.789993,121.978889,6951800
2019-05-24,139.500000,139.500000,138.559998,138.850006,121.987679,5473300
2019-05-28,139.000000,140.490005,137.050003,137.070007,120.423843,11919600
2019-05-29,135.889999,135.889999,128.520004,131.330002,115.380905,23247400
2019-05-30,131.440002,132.820007,131.169998,132.110001,116.066185,7360600
2019-05-31,131.520004,132.000000,129.610001,131.149994,115.222771,7811000
2019-06-03,131.500000,132.399994,131.039993,131.440002,115.477547,8434600
2019-06-04,132.600006,134.300003,132.580002,133.729996,117.489464,6648900
2019-06-05,134.699997,135.130005,133.860001,134.380005,118.060509,6860600
2019-06-06,134.899994,137.660004,134.589996,136.679993,120.081200,9115800
2019-06-07,137.589996,139.589996,137.139999,138.550003,121.724113,6533900
2019-06-10,138.600006,139.149994,137.600006,139.020004,122.137032,4994700
2019-06-11,139.679993,140.660004,139.500000,139.779999,122.804733,8230500
2019-06-12,140.300003,142.910004,140.300003,141.679993,124.473961,9216500
2019-06-13,141.720001,141.949997,140.210007,140.710007,123.621780,7500800
2019-06-14,141.229996,141.490005,140.039993,140.089996,123.077034,6548100
2019-06-17,140.000000,140.240005,139.210007,139.440002,122.506027,5562800
2019-06-18,140.559998,140.929993,139.789993,140.229996,123.200043,7122700
2019-06-19,140.009995,140.970001,139.910004,140.449997,123.393364,6393400
2019-06-20,141.250000,142.399994,141.000000,142.210007,124.939621,7335800
2019-06-21,141.460007,142.429993,141.009995,142.089996,124.834183,11272200
2019-06-24,142.419998,143.699997,142.089996,143.059998,125.686386,5894700
2019-06-25,143.270004,144.979996,143.190002,144.240005,126.723091,7517000
2019-06-26,143.850006,143.850006,140.759995,141.850006,124.623306,7674100
2019-06-27,142.229996,142.500000,140.600006,140.690002,123.604233,5233500
2019-06-28,140.740005,141.100006,138.509995,139.279999,122.365433,12792400
2019-07-01,140.199997,140.259995,138.720001,139.360001,122.435738,5872300
2019-07-02,139.220001,140.029999,138.690002,140.029999,123.024330,4501200
2019-07-03,141.000000,142.179993,140.789993,142.139999,124.878120,3436300
2019-07-05,141.740005,141.860001,140.369995,140.570007,123.498779,4652400
2019-07-08,140.119995,141.080002,139.639999,140.970001,123.850220,4078100
2019-07-09,141.460007,142.470001,140.910004,141.410004,124.236786,4217400
2019-07-10,141.779999,141.990005,140.669998,141.210007,124.061081,4874400
2019-07-11,140.940002,141.210007,139.020004,140.110001,123.094650,5817400
2019-07-12,140.119995,140.119995,132.320007,134.300003,117.990234,17780100
2019-07-15,135.389999,136.360001,134.449997,134.710007,118.350464,10038200
2019-07-16,132.929993,133.830002,131.750000,132.500000,116.408829,10214500
2019-07-17,132.490005,133.580002,131.410004,131.860001,115.846542,8862100
2019-07-18,132.130005,132.509995,131.169998,132.070007,116.031044,6203100
2019-07-19,132.250000,132.389999,130.190002,130.309998,114.484779,8340200
2019-07-22,130.000000,130.149994,127.839996,128.639999,113.017586,12624800
2019-07-23,128.610001,129.449997,128.160004,128.839996,113.193314,5803600
2019-07-24,128.880005,129.789993,128.570007,129.779999,114.019135,6838600
2019-07-25,130.059998,131.529999,129.669998,131.119995,115.196396,8897800
2019-07-26,131.300003,131.300003,130.490005,130.729996,114.853790,4894600
2019-07-29,131.000000,133.309998,130.210007,133.020004,116.865662,7832000
2019-07-30,132.470001,132.490005,131.270004,132.080002,116.039841,5509600
2019-07-31,131.639999,132.000000,130.179993,130.220001,114.405724,8559200
